"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.steyert","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.wellsr","results.gabbardt","results.yanga","results.bennetm","results.williamsonm","results.delaneyj","results.patrickd"
"1","48001","Anderson",  1570, 21, 21,   753,   333,   295,    69,    41,    21,    21,     8,     7,     6,     6,     5,     3,     1,     1,     0,     0
"2","48003","Andrews",   231,  5,  5,    81,    84,    33,    22,     3,     2,     2,     1,     2,     0,     0,     0,     1,     0,     0,     0,     0
"3","48005","Angelina",  3227, 43, 43,  1632,   648,   465,   213,    80,    73,    16,     3,    17,    11,     5,    13,     9,    10,    15,     8,     9
"4","48007","Aransas",  1177,  5,  5,   502,   222,   176,   128,    67,    55,     3,     0,     1,     7,     1,     5,     5,     0,     2,     0,     3
"5","48009","Archer",   219,  7,  7,    92,    36,    38,    21,    13,    15,     1,     1,     0,     1,     0,     1,     0,     0,     0,     0,     0
"6","48011","Armstrong",    28,  9,  9,    11,    10,     4,     0,     0,     1,     1,     0,     0,     0,     0,     1,     0,     0,     0,     0,     0
"7","48013","Atascosa",  2723, 16, 16,   800,   736,   585,   207,    76,    41,    51,     2,   142,    25,     5,    10,    11,    14,     9,     6,     3
"8","48015","Austin",  1027, 18, 18,   460,   214,   205,    54,    33,    22,    18,     2,     3,     0,     3,     4,     2,     1,     2,     2,     2
"9","48017","Bailey",   117,  5,  5,    47,    34,    15,    11,     4,     0,     2,     0,     0,     2,     0,     1,     0,     0,     0,     1,     0
"10","48019","Bandera",  1144, 11, 11,   443,   281,   170,   123,    60,    42,    10,     0,     1,     1,     1,     1,     4,     0,     7,     0,     0
"11","48021","Bastrop",  7361, 23, 23,  2365,  2274,  1000,   998,   323,   223,    85,     9,    14,     5,     2,    27,    15,     7,     1,     8,     5
"12","48023","Baylor",    65,  5,  5,    27,     5,    19,     6,     0,     2,     2,     0,     0,     0,     1,     2,     1,     0,     0,     0,     0
"13","48025","Bee",  1107, 10, 10,   490,   238,   173,    81,    20,    19,    17,     0,    31,     6,     0,     8,     4,    10,     6,     3,     1
"14","48027","Bell", 18105, 41, 41,  7793,  4774,  2434,  1693,   652,   338,    76,    34,    43,    16,    12,    74,    67,    31,    39,    21,     8
"15","48029","Bexar",170762,281,281, 48923, 56763, 26031, 21046,  7432,  4112,  1261,   190,  3258,   193,    63,   566,   472,   231,    98,    80,    43
"16","48031","Blanco",  1040,  7,  7,   375,   240,   142,   164,    65,    39,    10,     0,     1,     0,     0,     2,     1,     1,     0,     0,     0
"17","48033","Borden",     6,  8,  8,     2,     1,     2,     0,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
"18","48035","Bosque",   715, 12, 12,   293,   172,   114,    69,    17,    25,    12,     0,     1,     1,     1,     3,     0,     2,     1,     4,     0
"19","48037","Bowie",  3689, 43, 43,  2066,   700,   487,   215,    70,    46,    27,    11,     2,     0,     4,    10,     7,    15,    19,     7,     3
"20","48039","Brazoria", 21661, 28, 28,  8839,  5840,  3119,  2159,   759,   488,   123,    21,    21,    30,     3,   101,    71,    68,    10,     5,     4
"21","48041","Brazos", 12946, 26, 26,  4090,  4740,   998,  1976,   439,   304,    82,    61,    14,     6,    23,    64,    81,    60,     6,     1,     1
"22","48043","Brewster",  1310,  9,  9,   343,   410,   156,   245,    57,    41,     5,     4,    10,     6,     1,    14,     6,     4,     3,     3,     2
"23","48045","Briscoe",    34,  6,  6,     9,     4,     5,     7,     3,     2,     1,     0,     1,     2,     0,     0,     0,     0,     0,     0,     0
"24","48047","Brooks",  1551,  6,  6,   289,   522,   424,    65,    41,    25,    10,     3,    46,    52,    12,    21,     4,    18,     7,    10,     2
"25","48049","Brown",   760, 19, 19,   366,   183,    69,    66,    38,    14,    12,     2,     2,     1,     0,     3,     0,     1,     2,     0,     1
"26","48051","Burleson",   748, 14, 14,   378,   122,   149,    44,    18,    17,     2,     2,     1,     1,     0,     2,     2,     2,     3,     4,     1
"27","48053","Burnet",  2582, 21, 21,  1021,   575,   429,   287,   117,    90,    21,     2,     7,     1,     3,    13,     3,     2,     2,     8,     1
"28","48055","Caldwell",  2988, 32, 32,   978,   955,   431,   320,   111,    70,    32,     2,    38,     7,     3,    10,    12,     8,     3,     4,     4
"29","48057","Calhoun",   928, 26, 26,   427,   191,   159,    71,    26,    15,    12,     5,     5,     3,     0,     6,     2,     3,     1,     2,     0
"30","48059","Callahan",   252,  5,  5,   119,    74,    14,    20,     8,     5,     5,     0,     1,     3,     1,     0,     0,     1,     1,     0,     0
"31","48061","Cameron", 31352,104,104,  7508, 10470,  6355,  1947,  1154,   593,   255,    74,   962,   604,    73,   325,   205,   285,    95,   339,   108
"32","48063","Camp",   665,  5,  5,   350,   120,   114,    31,    18,    12,     5,     1,     0,     1,     1,     5,     0,     5,     1,     1,     0
"33","48065","Carson",   133,  9,  9,    66,    25,    18,    14,     4,     1,     0,     0,     0,     1,     0,     2,     1,     1,     0,     0,     0
"34","48067","Cass",  1154, 20, 20,   620,   202,   150,    48,    17,    17,    21,     7,     3,     0,     1,    52,     3,     6,     2,     4,     1
"35","48069","Castro",   169,  9,  9,    51,    32,    60,    10,     1,     4,     0,     0,     1,     0,     2,     5,     1,     0,     0,     1,     1
"36","48071","Chambers",  1236, 15, 15,   500,   337,   183,    95,    47,    32,    17,     4,     0,     0,     1,     4,     4,     2,     4,     6,     0
