"","fips","name","votes","reporting","precincts","results.sandersb","results.bloombergm","results.bidenj","results.buttigiegp","results.warrene","results.klobuchara","results.steyert","results.bennetm","results.bloxhamn","results.bookerc","results.castroj","results.de_la_fuente_iiir","results.gabbardt","results.patrickd","results.williamsonm","results.yanga"
"1","49001","Beaver",   151, 14, 14,   28,   43,   39,   15,   14,   10,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0
"2","49003","Box Elder",  1421, 69, 69,  403,  299,  309,  141,  166,   51,   14,    0,    1,    0,    3,    2,   18,    0,    2,   12
"3","49005","Cache",  5495, 84, 84, 2131,  612,  874,  425, 1064,  271,   18,    0,    1,    6,    1,    4,   49,    0,    7,   32
"4","49007","Carbon",  1213, 25, 25,  267,  254,  353,  115,  137,   48,   10,    0,    1,    1,    2,    4,   13,    1,    3,    4
"5","49009","Daggett",    41, 15, 15,   13,    8,   11,    3,    4,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
"6","49011","Davis", 20968,262,262, 6841, 3615, 3977, 2046, 3154,  778,   81,    0,   11,   17,   18,   13,  237,    9,   30,  141
"7","49013","Duchesne",   304, 35, 35,   83,   56,   72,   21,   45,    8,    4,    0,    0,    3,    0,    3,    6,    0,    0,    3
"8","49015","Emery",   200, 28, 28,   44,   38,   52,   22,   15,   21,    2,    0,    0,    0,    1,    1,    3,    0,    0,    1
"9","49017","Garfield",   228, 20, 20,   77,   29,   25,   21,   56,   12,    1,    0,    0,    2,    0,    0,    3,    0,    0,    2
"10","49019","Grand",  1475, 27, 27,  618,  146,  213,  101,  295,   80,    2,    0,    0,    1,    0,    0,   15,    0,    1,    3
"11","49021","Iron",  1818, 56, 56,  598,  246,  391,  154,  294,   82,    7,    0,    0,    1,    0,    4,   23,    0,    4,   14
"12","49023","Juab",   223, 12, 12,   54,   64,   55,   16,   18,    9,    1,    0,    0,    0,    1,    0,    1,    0,    0,    4
"13","49025","Kane",   582, 19, 19,  195,   87,   96,   51,  101,   37,    3,    0,    0,    2,    1,    0,    4,    1,    0,    4
"14","49027","Millard",   226, 30, 30,   33,   61,   61,   21,   22,   17,    2,    0,    1,    2,    2,    1,    3,    0,    0,    0
"15","49029","Morgan",   335, 16, 16,   84,   63,   81,   27,   38,   26,    1,    0,    1,    2,    0,    3,    8,    0,    1,    0
"16","49031","Piute",    26,  7,  7,    5,    7,    5,    3,    2,    2,    0,    0,    1,    0,    0,    0,    1,    0,    0,    0
"17","49033","Rich",    53,  6,  6,   12,    7,   20,    6,    4,    3,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0
"18","49035","Salt Lake",125111,892,892,48183,18311,21661,10517,21002, 3777,  310,    0,   25,   49,   62,   48,  694,   18,   88,  366
"19","49037","San Juan",  1145, 24, 24,  495,  197,  210,   54,  107,   29,   11,    0,    2,    5,    5,    0,    5,    2,    4,   19
"20","49039","Sanpete",   530, 30, 30,  180,   84,   86,   54,   78,   30,    5,    0,    1,    0,    0,    0,    7,    0,    1,    4
"21","49041","Sevier",   356, 44, 44,   87,   84,   84,   32,   45,   17,    2,    0,    1,    1,    0,    0,    0,    1,    0,    2
"22","49043","Summit",  6936, 51, 51, 1565, 1652, 1632,  704, 1009,  294,   21,    0,    1,    7,    3,    3,   27,    2,    4,   12
"23","49045","Tooele",  2658, 65, 65,  870,  515,  579,  226,  323,   79,    6,    0,    1,    1,    4,    2,   27,    1,    4,   20
"24","49047","Uintah",   758, 52, 52,  208,  127,  158,   90,   95,   41,    4,    0,    2,    1,    1,    3,   16,    2,    3,    7
"25","49049","Utah", 23287,374,374, 8596, 2799, 4359, 1587, 4350,  849,   65,    0,    7,   12,   23,   17,  373,   11,   35,  204
"26","49051","Wasatch",  2196, 40, 40,  640,  468,  489,  208,  274,   73,    7,    0,    0,    4,    0,    3,   18,    0,    3,    9
"27","49053","Washington",  8817,115,115, 2298, 1753, 2055,  896, 1077,  515,   75,    0,    5,    9,    9,    9,   68,    1,   16,   31
"28","49055","Wayne",   156, 12, 12,   43,   27,   22,   13,   34,   13,    1,    0,    0,    0,    2,    0,    0,    0,    0,    1
"29","49057","Weber", 13724,186,186, 5010, 2323, 2672, 1159, 1881,  428,   47,    0,    7,   12,   21,    6,   83,    6,   14,   55
