"","fips","name","votes","reporting","precincts","results.sandersb","results.bidenj","results.warrene","results.bloombergm","results.buttigiegp","results.klobuchara","results.gabbardt","results.yanga","results.steyert","results.greensteinm","results.patrickd","results.williamsonm","results.castroj"
"1","50001","Addison",10365,23,23, 5068, 2253, 1581,  974,  227,  117,   67,   34,   15,   11,    7,    6,    5
"2","50003","Bennington", 8255,18,18, 3778, 2379,  869,  849,  164,   72,   64,   28,   11,    4,   22,   10,    5
"3","50005","Caledonia", 5381,17,17, 2749, 1181,  655,  501,  121,   56,   59,   33,    5,    4,   10,    6,    1
"4","50007","Chittenden",50755,32,32,26463, 9957, 6972, 4645, 1253,  777,  375,  173,   43,   24,   22,   37,   14
"5","50009","Essex",  913,13,13,  408,  275,   55,  117,   22,   15,   10,    7,    2,    2,    0,    0,    0
"6","50011","Franklin", 7817,16,16, 3960, 1919,  501, 1021,  194,   78,   57,   47,    7,    7,    8,   14,    4
"7","50013","Grand Isle", 2020, 5, 5,  936,  475,  178,  284,   54,   62,   17,    9,    2,    2,    0,    1,    0
"8","50015","Lamoille", 5846,10,10, 3146, 1271,  495,  679,  114,   65,   37,   26,    5,    0,    4,    2,    2
"9","50017","Orange", 6279,17,17, 3282, 1342,  885,  449,  134,   85,   60,   20,    8,    2,    6,    4,    2
"10","50019","Orleans", 3847,20,20, 1987,  900,  342,  441,   68,   38,   35,   14,    5,    5,    4,    7,    1
"11","50021","Rutland",11973,32,32, 5580, 3274,  979, 1461,  310,  133,  118,   46,   20,   15,   17,   15,    5
"12","50023","Washington",16672,20,20, 8669, 3260, 2480, 1346,  466,  178,  133,   66,   17,   16,    9,   23,    9
"13","50025","Windham",12387,26,26, 6856, 2316, 1844,  747,  237,  171,  115,   36,   31,    9,   17,    6,    2
"14","50027","Windsor",15276,26,26, 7239, 3932, 1980, 1329,  350,  176,  151,   50,   34,    6,   14,   13,    2
