"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.gabbardt","results.buttigiegp","results.klobuchara","results.bennetm","results.bookerc","results.steyert","results.williamsonm","results.yanga","results.castroj","results.patrickd"
"1","51001","Accomack",  3303, 17, 17,  2026,   598,   374,   173,    41,    38,    25,     9,     8,     3,     3,     3,     2,     0
"2","51003","Albemarle", 26834, 31, 31, 12339,  6315,  2752,  4737,   156,   233,   214,    10,     7,    19,     5,    38,     6,     3
"3","51510","Alexandria", 41608, 31, 31, 20782,  7586,  4243,  7628,   246,   583,   343,    31,    36,    22,    17,    65,    15,    11
"4","51005","Alleghany",  1093, 13, 13,   586,   234,   103,    96,    21,    13,    19,     4,     1,     5,     0,     5,     2,     4
"5","51007","Amelia",  1132,  6,  6,   765,   171,   103,    46,     6,    14,     4,     4,     8,     5,     2,     2,     0,     2
"6","51009","Amherst",  2391, 12, 12,  1521,   431,   161,   195,    25,    14,    15,     7,     3,     4,     4,     9,     0,     2
"7","51011","Appomattox",  1074, 10, 10,   667,   219,    71,    57,    24,    11,     8,     4,     4,     1,     3,     2,     0,     3
"8","51013","Arlington", 70421, 55, 55, 33975, 13263,  6682, 14062,   383,  1109,   610,    40,    47,    31,    27,   154,    27,    11
"9","51015","Augusta",  6038, 26, 26,  3071,  1511,   517,   621,    98,    66,    70,     8,    21,    11,     8,    22,    10,     4
"10","51017","Bath",   359,  8,  8,   187,    68,    41,    33,    10,     6,     7,     2,     1,     2,     0,     1,     0,     1
"11","51019","Bedford",  6513, 33, 33,  3565,  1360,   718,   558,   122,    54,    54,    10,     7,    16,     7,    31,     3,     8
"12","51021","Bland",   307,  8,  8,   139,    81,    24,    43,     8,     2,     4,     1,     2,     1,     0,     1,     0,     1
"13","51023","Botetourt",  3107, 11, 11,  1673,   693,   318,   286,    48,    28,    25,     4,     4,     7,     5,    10,     3,     3
"14","51520","Bristol",  1041,  5,  5,   512,   325,    74,    94,     7,     8,     7,     2,     1,     2,     3,     3,     1,     2
"15","51025","Brunswick",  1857, 14, 14,  1359,   243,   173,    49,    10,     3,     4,     3,     0,     3,     2,     5,     2,     1
"16","51027","Buchanan",   672, 18, 18,   403,   142,    65,    35,     2,     1,     7,     2,     6,     3,     2,     2,     2,     0
"17","51029","Buckingham",  1495, 11, 11,   945,   282,   130,    78,    15,     8,    10,     5,     8,     4,     2,     5,     1,     2
"18","51530","Buena Vista",   381,  2,  2,   190,    87,    36,    51,     7,     3,     3,     0,     3,     0,     0,     1,     0,     0
"19","51031","Campbell",  3503, 17, 17,  2165,   646,   319,   228,    54,    26,    20,     4,     9,    10,     2,    10,    10,     0
"20","51033","Caroline",  3952, 13, 13,  2537,   744,   323,   222,    34,    26,    16,     8,    13,     6,     8,    11,     2,     2
"21","51035","Carroll",  1664, 18, 18,   770,   425,   256,   107,    31,    13,    23,     5,     8,     5,     2,    12,     3,     4
"22","51036","Charles City",  1208,  4,  4,   860,   169,   102,    46,     8,     6,     5,     3,     3,     2,     0,     3,     1,     0
"23","51037","Charlotte",   976,  8,  8,   702,   127,    86,    42,     6,     2,     3,     2,     1,     3,     0,     0,     2,     0
"24","51540","Charlottesville", 13720, 10, 10,  4417,  4675,   874,  3449,    55,   115,    85,     3,     7,     2,     4,    29,     3,     2
"25","51550","Chesapeake", 35206, 64, 64, 22053,  6908,  2820,  2363,   337,   209,   163,    54,    97,    50,    23,    88,    22,    19
"26","51041","Chesterfield", 58725, 81, 81, 33401, 13416,  4810,  5585,   515,   310,   246,    45,    77,   122,    28,   128,    29,    13
"27","51043","Clarke",  2351,  8,  8,  1209,   525,   275,   249,    28,    31,    19,     1,     1,     5,     1,     6,     0,     1
"28","51570","Colonial Heights",  1448,  6,  6,   716,   402,   130,   123,    27,    10,    12,     2,    10,     5,     1,     7,     2,     1
"29","51580","Covington",   399,  6,  6,   241,    86,    29,    27,     6,     3,     3,     0,     1,     0,     1,     2,     0,     0
"30","51045","Craig",   357,  9,  9,   166,    95,    33,    40,    10,     2,     4,     0,     2,     2,     0,     2,     0,     1
"31","51047","Culpeper",  4966, 16, 16,  2640,  1203,   542,   409,    47,    41,    36,     5,    10,     9,     3,    12,     6,     3
"32","51049","Cumberland",  1011,  6,  6,   696,   164,    62,    57,     6,     7,     6,     2,     4,     3,     0,     4,     0,     0
