"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.warrene","results.buttigiegp","results.klobuchara","results.gabbardt","results.yanga","results.steyert","results.delaneyj","results.bennetm","results.patrickd","results.bookerc","results.uncommitted"
"1","53001","Adams",   918,  3,  3,   315,   322,   131,    60,    26,    24,    11,     7,     6,     5,     3,     1,     0,     7
"2","53003","Asotin",  2884,  7,  7,  1148,   730,   414,   203,   177,    91,    41,    20,    19,     3,     4,     2,     4,    28
"3","53005","Benton", 23046, 50, 50,  9003,  7458,  2329,  1654,  1165,   619,   343,   121,    85,    20,    41,    10,    31,   167
"4","53007","Chelan", 12522, 21, 21,  4813,  4192,  1171,   980,   663,   359,   134,    50,    47,     3,    29,     5,    12,    64
"5","53009","Clallam", 18625, 24, 24,  7255,  5588,  1910,  1789,   921,   632,   220,    65,    65,    10,    31,     8,    17,   114
"6","53011","Clark", 86090,125,125, 32525, 30341,  8296,  6717,  4332,  1801,   863,   370,   250,    33,   137,    36,    66,   323
"7","53013","Columbia",   498,  2,  2,   190,   135,    69,    34,    26,    23,     8,     2,     2,     1,     2,     0,     2,     4
"8","53015","Cowlitz", 16187, 30, 30,  6459,  4924,  2091,  1061,   747,   339,   186,    93,    84,    10,    47,    15,    11,   120
"9","53017","Douglas",  4690, 10, 10,  1905,  1546,   485,   288,   233,   104,    49,    23,    15,     4,    11,     1,     7,    19
"10","53019","Ferry",   964,  2,  2,   306,   347,   124,    75,    50,    31,    14,     3,     0,     1,     0,     2,     0,    11
"11","53021","Franklin",  7087, 15, 15,  2477,  2865,   728,   399,   254,   144,    79,    39,    21,    11,    27,     3,     9,    31
"12","53023","Garfield",   265,  2,  2,   107,    62,    30,    26,    20,    13,     4,     0,     2,     0,     1,     0,     0,     0
"13","53025","Grant",  6809, 19, 19,  2276,  2285,   951,   438,   381,   213,    91,    34,    35,     4,    23,     2,    17,    59
"14","53027","Grays Harbor", 11595, 20, 20,  4097,  3865,  1495,   853,   632,   305,   111,    53,    59,     9,    24,     5,    13,    74
"15","53029","Island", 20861, 24, 24,  8394,  6246,  1873,  1991,  1082,   750,   233,    69,    60,    10,    17,     8,    13,   115
"16","53031","Jefferson", 13798, 12, 12,  5086,  5163,   930,  1469,   474,   386,   114,    31,    27,     6,    11,     5,    11,    85
"17","53033","King",615438,595,595,235655,232575, 36978, 67096, 21278, 12130,  3701,  2370,   814,   128,   560,   149,   459,  1545
"18","53035","Kitsap", 61535, 79, 79, 23998, 20029,  5388,  5713,  3171,  1715,   594,   258,   177,    19,    65,    22,    45,   341
"19","53037","Kittitas",  7495, 11, 11,  2561,  2883,   597,   667,   328,   224,   107,    36,    21,     4,    13,     3,    11,    40
"20","53039","Klickitat",  4150,  7,  7,  1475,  1526,   345,   356,   204,   114,    45,    13,    18,     5,     5,     1,     5,    38
"21","53041","Lewis",  9835, 23, 23,  3512,  3453,  1120,   719,   488,   216,   113,    39,    37,    12,    21,     5,    14,    86
"22","53043","Lincoln",  1138,  4,  4,   414,   295,   183,    83,    75,    39,    24,     5,     3,     0,     4,     0,     1,    12
"23","53045","Mason", 12061, 18, 18,  4613,  3892,  1442,   845,   618,   307,   135,    39,    60,     4,    20,     3,    10,    73
"24","53047","Okanogan",  5965, 11, 11,  1996,  2327,   544,   564,   220,   131,    62,    27,    10,     3,    17,     2,     8,    54
"25","53049","Pacific",  4800,  7,  7,  1826,  1433,   589,   404,   269,   119,    47,    24,    18,     5,    11,     1,     6,    48
"26","53051","Pend Oreille",  1769,  4,  4,   684,   560,   208,   101,    97,    42,    22,    10,    13,     1,     4,     2,     2,    23
"27","53053","Pierce",151707,227,227, 61097, 54385, 13340, 10938,  5856,  2489,  1401,   671,   350,    62,   232,    53,   143,   690
"28","53055","San Juan",  7372,  6,  6,  2633,  2780,   422,   874,   305,   211,    79,    16,    14,     3,     5,     3,     4,    23
"29","53057","Skagit", 25744, 35, 35, 10145,  8514,  2371,  2090,  1227,   760,   274,    82,    71,     9,    41,     8,    23,   129
"30","53059","Skamania",  2168,  4,  4,   822,   794,   187,   164,    86,    60,    31,     8,     1,     2,     1,     0,     0,    12
"31","53061","Snohomish",163495,213,213, 64871, 59779, 12718, 12642,  6580,  3102,  1593,   711,   364,    63,   233,    64,   111,   664
"32","53063","Spokane", 85704,145,145, 30618, 29750,  9880,  6520,  4581,  2001,   828,   390,   252,    46,   115,    23,   104,   596
"33","53065","Stevens",  5423, 15, 15,  1954,  1737,   693,   394,   295,   172,    61,    21,    25,     8,    15,     3,     8,    37
"34","53067","Thurston", 65374, 82, 82, 23350, 24833,  5072,  6184,  2776,  1583,   593,   284,   179,    24,    76,    17,    52,   351
"35","53069","Wahkiakum",   897,  2,  2,   345,   285,   106,    62,    49,    23,    11,     4,     1,     0,     3,     0,     1,     7
"36","53071","Walla Walla",  9036, 16, 16,  3547,  2925,   834,   801,   377,   293,   103,    45,    33,     4,    21,     0,     8,    45
"37","53073","Whatcom", 59151, 64, 64, 18752, 27295,  3175,  5354,  2068,  1169,   572,   256,   115,    20,    61,    31,    55,   228
"38","53075","Whitman",  6807, 11, 11,  2050,  3040,   383,   727,   291,   144,    72,    37,    12,     0,     5,     6,     3,    37
"39","53077","Yakima", 23394, 55, 55,  8129,  8880,  2928,  1317,   922,   505,   230,    77,    90,    21,   108,     9,    28,   150
