"","fips","name","votes","reporting","precincts","results.bidenj","results.riced","results.sandersb","results.warrene","results.gabbardt","results.klobuchara","results.buttigiegp","results.bloombergm","results.bennetm","results.steyert","results.yanga","results.patrickd"
"1","54001","Barbour", 1321, 16, 16,  910,  135,  103,   33,   29,   28,   25,   24,   10,   10,   10,    4
"2","54003","Berkeley", 6993, 66, 66, 5142,  214,  853,  198,   92,   75,   98,  106,  103,   15,   81,   16
"3","54005","Boone", 3073, 26, 26, 1670,  535,  316,  104,   68,   57,   80,   70,   42,   57,   61,   13
"4","54007","Braxton", 1783, 18, 18, 1121,  215,  140,   54,   57,   29,   25,   68,   23,   13,   28,   10
"5","54009","Brooke", 2912, 27, 27, 1824,  259,  314,   67,   70,   51,   86,  102,   47,   45,   29,   18
"6","54011","Cabell", 8587, 71, 71, 5822,  394, 1283,  251,  136,  113,  189,  176,   56,   45,  104,   18
"7","54013","Calhoun",  823, 10, 10,  392,  179,  130,   20,   17,   16,   11,   18,   19,    9,    8,    4
"8","54015","Clay",  838, 11, 11,  434,  163,   86,   25,   27,   12,    3,   35,   11,   10,   24,    8
"9","54017","Doddridge",  317, 12, 12,  190,   42,   46,   13,    6,    2,    5,    4,    2,    0,    6,    1
"10","54019","Fayette", 4661, 39, 39, 2945,  432,  560,  151,  139,   71,   57,   99,   45,   43,   96,   23
"11","54021","Gilmer",  802, 12, 12,  444,  120,   93,   22,   40,    8,    7,   22,   28,   10,    7,    1
"12","54023","Grant",  298, 16, 16,  208,   14,   40,   11,    5,    4,    3,    7,    5,    0,    1,    0
"13","54025","Greenbrier", 3982, 29, 29, 2633,  310,  474,  148,  101,   66,   77,   65,   27,   22,   41,   18
"14","54027","Hampshire", 1436, 24, 24,  930,  140,  140,   56,   40,   25,   25,   35,   20,    4,   16,    5
"15","54029","Hancock", 3036, 25, 25, 1956,  277,  274,   87,   83,   67,   98,   71,   21,   28,   58,   16
"16","54031","Hardy", 1261, 14, 14,  793,  150,  128,   28,   22,   31,   27,   36,   21,    7,   13,    5
"17","54033","Harrison", 7905, 67, 67, 5227,  665,  789,  225,  252,  135,  183,  148,   73,   61,   93,   54
"18","54035","Jackson", 2750, 31, 31, 1958,  239,  235,   58,   47,   42,   33,   47,   19,   29,   35,    8
"19","54037","Jefferson", 5909, 32, 32, 4428,   95,  802,  191,   70,   68,  103,   60,   14,   16,   55,    7
