"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.bloombergm","results.klobuchara","results.gabbardt","results.warrene","results.buttigiegp","results.uninstructed","results.steyert","results.yanga","results.delaneyj","results.patrickd","results.bennetm"
"1","55001","Adams",  2622, 20, 20, 1932,  560,   46,   19,   14,   13,   12,    9,    6,    5,    3,    2,    1
"2","55003","Ashland",  2621, 34, 34, 1560,  937,   21,   34,   12,   31,    8,    8,    5,    4,    0,    1,    0
"3","55005","Barron",  5120, 36, 36, 3618, 1207,   37,   88,   33,   53,   25,   29,    5,   13,    4,    1,    7
"4","55007","Bayfield",  4057, 35, 35, 2490, 1360,   43,   65,   22,   49,    7,   12,    2,    6,    0,    0,    1
"5","55009","Brown", 32603,112,112,21493, 9446,  337,  182,  202,  391,  199,  127,   35,  145,   20,    7,   19
"6","55011","Buffalo",  1766, 23, 23, 1207,  405,   56,   25,   16,   18,   10,   13,    6,    6,    2,    1,    1
"7","55013","Burnett",  1801, 24, 24, 1293,  367,   18,   51,   15,   22,    4,   19,    2,    3,    2,    3,    2
"8","55015","Calumet",  6765, 48, 48, 4445, 1855,  106,   54,   50,   84,   42,   36,    7,   61,   10,    5,   10
"9","55017","Chippewa",  8662, 46, 46, 6068, 2126,   99,   87,   59,   97,   41,   42,    6,   21,    4,    2,   10
"10","55019","Clark",  2909, 81, 81, 2036,  682,   54,   33,   16,   25,   15,   24,    6,    7,    2,    2,    7
"11","55021","Columbia", 10270, 37, 37, 6819, 2921,   98,   61,   81,  132,   57,   40,    9,   32,    9,    4,    7
"12","55023","Crawford",  2473, 27, 27, 1626,  713,   29,   18,   13,   24,    7,    9,    9,    9,    8,    4,    4
"13","55025","Dane",168466,237,237,92891,67423,  778,  742,  744, 4001,  705,  462,   78,  546,   35,   25,   36
"14","55027","Dodge",  9691, 59, 59, 6488, 2603,  140,   72,   71,  136,   68,   46,   15,   30,   10,    4,    8
"15","55029","Door",  6523, 42, 42, 4691, 1523,   57,   39,   32,   90,   39,   26,   10,   10,    2,    0,    4
"16","55031","Douglas",  6995, 26, 26, 4931, 1759,   42,   93,   35,   79,   20,   18,    0,   13,    1,    3,    1
"17","55033","Dunn",  5616, 41, 41, 3570, 1695,   50,   81,   59,   56,   36,   25,    7,   23,    4,    5,    5
"18","55035","Eau Claire", 18878, 94, 94,11202, 6672,  165,  136,  119,  275,  111,   68,   10,   97,   12,    4,    7
"19","55037","Florence",   471,  8,  8,  331,  117,    6,    3,    2,    6,    3,    1,    0,    1,    0,    0,    1
"20","55039","Fond du Lac", 11628, 67, 67, 7913, 3040,  156,   81,   99,  113,   90,   56,   11,   48,   11,    5,    5
"21","55041","Forest",  1063, 17, 17,  759,  238,   12,    7,   10,   15,    4,    7,    2,    1,    4,    2,    2
"22","55043","Grant",  6250, 52, 52, 4286, 1602,   59,   61,   41,   87,   40,   27,   11,   19,    6,    3,    8
"23","55045","Green",  6831, 24, 24, 4537, 1939,   72,   53,   45,   91,   29,   23,    7,   24,    7,    2,    2
"24","55047","Green Lake",  1959, 38, 38, 1373,  466,   30,   17,   15,   26,   17,    7,    1,    6,    0,    0,    1
"25","55049","Iowa",  4851, 29, 29, 3259, 1366,   41,   34,   25,   73,   22,   14,    6,    7,    2,    2,    0
"26","55051","Iron",  1143, 19, 19,  810,  256,   11,   16,    9,    9,    5,    7,    2,   16,    1,    0,    1
"27","55053","Jackson",  2526, 31, 31, 1711,  645,   35,   33,   21,   22,   13,   13,    4,   21,    1,    1,    6
"28","55055","Jefferson", 12232, 43, 43, 7825, 3710,  137,   80,   81,  185,   75,   49,   15,   54,    6,    3,   12
"29","55057","Juneau",  2847, 31, 31, 1949,  752,   46,   21,   13,   29,    9,    9,    4,    5,    4,    2,    4
"30","55059","Kenosha", 21417,136,136,13553, 6897,  193,   90,  118,  269,  118,   68,   13,   75,    7,    8,    8
"31","55061","Kewaunee",  2519, 14, 14, 1762,  589,   49,   18,   23,   27,   16,   11,    7,    9,    4,    3,    1
"32","55063","La Crosse", 20496, 54, 54,12688, 6797,  152,  172,  107,  275,  111,   78,   11,   84,    7,    4,   10
"33","55065","Lafayette",  2298, 44, 44, 1679,  490,   29,   11,   15,   35,   18,    9,    2,    6,    2,    2,    0
"34","55067","Langlade",  2002, 26, 27, 1483,  406,   26,   19,   11,   23,    7,    9,    3,    5,    4,    3,    3
"35","55069","Lincoln",  3596, 27, 27, 2558,  841,   56,   20,   21,   38,   20,   21,    8,    6,    5,    0,    2
"36","55071","Manitowoc",  9739, 51, 51, 6609, 2395,  168,   61,  146,  115,  116,   39,   25,   47,   12,    5,    1
"37","55073","Marathon", 17516,106,106,11929, 4669,  197,   99,  103,  233,   99,   66,   19,   73,   14,    7,    8
"38","55075","Marinette",  4456, 28, 28, 3258,  952,   59,   31,   36,   54,   21,   28,    3,    8,    2,    2,    2
"39","55077","Marquette",  1873, 19, 19, 1343,  466,   18,    9,    5,   12,    5,    8,    1,    2,    2,    0,    2
"40","55078","Menominee",   292,  2,  2,  167,  111,    5,    2,    2,    3,    1,    0,    0,    1,    0,    0,    0
"41","55079","Milwaukee",152441,480,480,89256,55653, 1292,  665,  743, 2599,  736,  533,  121,  610,   83,   52,   98
"42","55081","Monroe",  4843, 42, 42, 3212, 1324,   59,   47,   36,   57,   37,   34,    8,   19,    5,    2,    3
"43","55083","Oconto",  4145, 29, 29, 2922, 1000,   58,   28,   32,   44,   18,   20,    2,   12,    6,    0,    3
"44","55085","Oneida",  5836, 43, 43, 4077, 1429,   72,   45,   41,   73,   31,   24,    8,   15,    3,   12,    6
"45","55087","Outagamie", 27417,127,127,17235, 8646,  326,  161,  208,  377,  158,  126,   28,  117,   18,    8,    9
"46","55089","Ozaukee", 15967, 47, 47,10965, 4139,  186,  100,  116,  211,  103,   66,   15,   52,    2,    4,    8
"47","55091","Pepin",   924, 11, 11,  671,  192,   11,   10,    7,   20,    7,    0,    1,    4,    1,    0,    0
"48","55093","Pierce",  5124, 28, 28, 3296, 1521,   37,   97,   31,   68,   24,   28,    4,   12,    3,    1,    2
"49","55095","Polk",  5058, 36, 36, 3538, 1193,   37,  129,   34,   51,   25,   19,    5,   17,    7,    2,    1
"50","55097","Portage", 12561, 59, 59, 7669, 4303,   96,   66,   75,  152,   73,   39,   12,   59,    5,    7,    5
