"Date","State"
2020-02-03,"Iowa"
2020-02-11,"New Hampshire"
2020-02-22,"Nevada"
2020-02-29,"South Carolina"
2020-03-03,"Alabama"
2020-03-03,"American Samoa"
2020-03-03,"Arkansas"
2020-03-03,"California"
2020-03-03,"Colorado"
2020-03-03,"Maine"
2020-03-03,"Massachusetts"
2020-03-03,"Minnesota"
2020-03-03,"North Carolina"
2020-03-03,"Oklahoma"
2020-03-03,"Tennessee"
2020-03-03,"Texas"
2020-03-03,"Utah"
2020-03-03,"Vermont"
2020-03-03,"Virginia"
2020-03-03,"Democrats Abroad"
2020-03-10,"Idaho"
2020-03-10,"Michigan"
2020-03-10,"Mississippi"
2020-03-10,"Missouri"
2020-03-10,"North Dakota"
2020-03-10,"Washington"
2020-03-14,"Northern Marianas"
2020-03-17,"Arizona"
2020-03-17,"Florida"
2020-03-17,"Illinois"
2020-04-04,"Alaska"
2020-04-04,"Hawaii"
2020-04-04,"Wyoming"
2020-04-07,"Wisconsin"
2020-04-26,"Puerto Rico"
2020-04-28,"Ohio"
2020-05-02,"Guam"
2020-05-02,"Kansas"
2020-05-12,"Nebraska"
2020-05-12,"West Virginia"
2020-05-19,"Georgia"
2020-05-19,"Oregon"
2020-06-02,"Connecticut"
2020-06-02,"Delaware"
2020-06-02,"District of Columbia"
2020-06-02,"Indiana"
2020-06-02,"Maryland"
2020-06-02,"Montana"
2020-06-02,"New Jersey"
2020-06-02,"New Mexico"
2020-06-02,"Pennsylvania"
2020-06-02,"Rhode Island"
2020-06-02,"South Dakota"
2020-06-06,"Virgin Islands"
2020-06-20,"Louisiana"
2020-06-23,"Kentucky"
2020-06-23,"New York"
