fte_pollster_name,fte_pollster_ratings_id,rcp_pollster_name
Monmouth University,215,Monmouth
Selzer & Co.,304,
ABC News/Washington Post,3,ABC News/Wash Post
Elway Research,87,
Field Research Corp. (Field Poll),94,
IBD/TIPP,144,IBD/TIPP
Muhlenberg College,219,
Marquette University Law School,195,
Siena College/New York Times Upshot,448,NY Times/Siena
Marist College,183,NPR/PBS/Marist
Data Orbital,73,
National Journal,224,
Stockton University,317,
Grove Insight,129,
SurveyUSA,325,SurveyUSA
Ciruli Associates,51,
Fairleigh Dickinson University (PublicMind),92,
CBS News/New York Times,36,
Behavior Research Center (Rocky Mountain),27,
University of Massachusetts Lowell,355,
Michigan State University,463,
University of Connecticut,347,
MassINC Polling Group,198,
Lake Research Partners,165,
Temple University,336,
University of Cincinnati (Ohio Poll),346,
High Point University,139,
Emerson College,88,Emerson
Los Angeles Times,172,
Siena College,305,
Fox News/Beacon Research/Shaw & Co. Research,103,FOX News
Winthrop University,386,
Elon University,86,
Indiana University,149,
Castleton University,45,
Public Policy Institute of California,262,
University of North Florida,360,
Yankelovich Partners Inc.,390,
University of Florida,349,
Princeton Survey Research Associates International,258,
Fox News/Opinion Dynamics Corp.,104,
Suffolk University,323,USA Today/Suffolk
NBC News/Wall Street Journal,221,NBC News/Wall St. Jrnl
University of Illinois at Chicago,352,
University of Wisconsin (Badger Poll),365,
Research & Polling Inc.,280,
RKM Research and Communications Inc.,272,
Western New England University,380,
Abt Associates,7,
Georgetown University (Battleground),114,
Christopher Newport University,50,
St. Norbert College,313,
Market Shares Corp.,187,
Quinnipiac University,267,Quinnipiac
Mason-Dixon Polling & Research Inc.,197,
EPIC-MRA,84,
Blum & Weprin Associates,32,
CNN/Opinion Research Corp.,37,CNN
Angus Reid Global,13,
Cygnal,67,
Public Religion Research Institute,428,
Fleming & Associates,96,
SSRS,297,
American Viewpoint,10,
University of Arkansas,345,
National Research Inc.,225,
Harper Polling,132,
RT Strategies,275,
Strategic Vision LLC,320,
University of South Alabama,361,
Greenberg Quinlan Rosner/American Viewpoint,127,
Clemson University,54,
Market Research Institute Inc.,186,
Ward Research (Honolulu Star-Advertiser),375,
University of Washington,364,
Landmark Communications,166,
Strategies 360,321,
Montana State University Billings,216,
Harstad Strategic Research Inc.,134,
Financial Dynamics,95,
Keating Research Inc.,161,
Rutgers University,295,
Crawford Johnson & Northcott Inc.,63,
Tarrance Group,333,
Iowa State University,153,
McKeon & Associates,202,
KRC/Communications Research,160,
Research Co.,449,
Louisville Courier-Journal,174,
Market Research Insight,185,
Orion Strategies,246,
Public Policy Polling,263,PPP (D)
Y2 Analytics,389,
Gallup,112,
Marshall Marketing & Communications,196,
Pew Research Center,253,
Missouri State University,212,
Northern Arizona University,234,
Pan Atlantic Research,249,
University of New Hampshire,357,
Middle Tennessee State University,208,
University of Massachusetts Amherst,354,
APC Research,4,
Ethridge & Associates LLC,89,
Potomac Incorporated,256,
American Research Group,9,
GBAO,109,
Hendrix College,138,
Moore Information,217,
Dittman Research,79,
Richard Day Research Inc.,287,
Cole Hargrave Snodgrass & Associates,56,
Frederick Polls,108,
RBI Strategies & Research,271,
MSR Group,178,
"North Star Opinion Research/Ayres, McHenry & Associates",233,
Victory Research,437,
Mason Strategies,464,
Keating Research/OnSight Public Affairs/Martin Campaigns,455,
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,
Personal Marketing Research,252,
Pharos Research Group,254,
Public Opinion Strategies,260,
University of Houston,351,
Starboard Communications,316,
U.S. News & World Report,342,
University of Wisconsin Milwaukee,366,
Mercyhurst University,422,
Odney,524,
Scripps Howard,303,
Market Decisions,184,
Fabrizio Ward,90,
Centre College,47,
Richmond Times-Dispatch,288,
Market Solutions Group,188,
Research 2000,281,
Frank N. Magid Associates Inc.,105,
Mellman Group,205,
Midwest Survey and Research,209,
Merrill Poll,206,
Lincoln Institute,170,
Southern Media & Opinion Research,310,
Neighborhood Research and Media,227,
QEV Analytics,266,
Florida International University/Univision,98,
New Mexico State University,230,
Winston Group,385,
Insights West,151,
Louis Harris & Associates,173,
Wirthlin Worldwide,387,
Manhattanville College,181,
Baruch College,22,
Knowledge Networks,164,
