fte_pollster_name,rcp_pollster_name
Monmouth University,Monmouth
Selzer & Co.,
ABC News/Washington Post,ABC News/Wash Post
Elway Research,
Field Research Corp. (Field Poll),
IBD/TIPP,IBD/TIPP
Muhlenberg College,
Marquette University Law School,
Siena College/New York Times Upshot,NY Times/Siena
Marist College,NPR/PBS/Marist
Data Orbital,
National Journal,
Stockton University,
Grove Insight,
SurveyUSA,SurveyUSA
Ciruli Associates,
Fairleigh Dickinson University (PublicMind),
CBS News/New York Times,
Behavior Research Center (Rocky Mountain),
University of Massachusetts Lowell,
Michigan State University,
University of Connecticut,
MassINC Polling Group,
Lake Research Partners,
Temple University,
University of Cincinnati (Ohio Poll),
High Point University,
Emerson College,Emerson
Los Angeles Times,
Siena College,
Fox News/Beacon Research/Shaw & Co. Research,FOX News
Winthrop University,
Elon University,
Indiana University,
Castleton University,
Public Policy Institute of California,
University of North Florida,
Yankelovich Partners Inc.,
University of Florida,
Princeton Survey Research Associates International,
Fox News/Opinion Dynamics Corp.,
Suffolk University,USA Today/Suffolk
NBC News/Wall Street Journal,NBC News/Wall St. Jrnl
University of Illinois at Chicago,
University of Wisconsin (Badger Poll),
Research & Polling Inc.,
RKM Research and Communications Inc.,
Western New England University,
Abt Associates,
Georgetown University (Battleground),
Christopher Newport University,
St. Norbert College,
Market Shares Corp.,
Quinnipiac University,Quinnipiac
Mason-Dixon Polling & Research Inc.,
EPIC-MRA,
Blum & Weprin Associates,
CNN/Opinion Research Corp.,CNN
Angus Reid Global,
Cygnal,
Public Religion Research Institute,
Fleming & Associates,
SSRS,
American Viewpoint,
University of Arkansas,
National Research Inc.,
Harper Polling,
RT Strategies,
Strategic Vision LLC,
University of South Alabama,
Greenberg Quinlan Rosner/American Viewpoint,
Clemson University,
Market Research Institute Inc.,
Ward Research (Honolulu Star-Advertiser),
University of Washington,
Landmark Communications,
Strategies 360,
Montana State University Billings,
Harstad Strategic Research Inc.,
Financial Dynamics,
Keating Research Inc.,
Rutgers University,
Crawford Johnson & Northcott Inc.,
Tarrance Group,
Iowa State University,
McKeon & Associates,
KRC/Communications Research,
Research Co.,
Louisville Courier-Journal,
Market Research Insight,
Orion Strategies,
Public Policy Polling,PPP (D)
Y2 Analytics,
Gallup,
Marshall Marketing & Communications,
Pew Research Center,
Missouri State University,
Northern Arizona University,
Pan Atlantic Research,
University of New Hampshire,
Middle Tennessee State University,
University of Massachusetts Amherst,
APC Research,
Ethridge & Associates LLC,
Potomac Incorporated,
American Research Group,
GBAO,
Hendrix College,
Moore Information,
Dittman Research,
Richard Day Research Inc.,
Cole Hargrave Snodgrass & Associates,
Frederick Polls,
RBI Strategies & Research,
MSR Group,
"North Star Opinion Research/Ayres, McHenry & Associates",
Victory Research,
Mason Strategies,
Keating Research/OnSight Public Affairs/Martin Campaigns,
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),
Personal Marketing Research,
Pharos Research Group,
Public Opinion Strategies,
